lecture_id,trace,policy,rebuffer_time_s,rebuffer_ratio,tier0_frac,tier1_frac,tier2_frac,tier3_frac,information_delivered
nptel_theory_of_computation_lec01,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_theory_of_computation_lec01,norway_hsdpa,naive,0.0,0.0,0.9988,0.0,0.0,0.0012,0.9991
nptel_theory_of_computation_lec01,norway_hsdpa_rough,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_theory_of_computation_lec01,norway_hsdpa_rough,naive,0.0,0.0,0.7941,0.2047,0.0,0.0012,0.972
nptel_theory_of_computation_lec01,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_theory_of_computation_lec01,belgium_4g,naive,0.0,0.0,0.9988,0.0,0.0,0.0012,0.9991
nptel_theory_of_computation_lec01,belgium_4g_rough,baseline,60.844,0.018612,1.0,0.0,0.0,0.0,0.9814
nptel_theory_of_computation_lec01,belgium_4g_rough,naive,91.251,0.027658,0.9364,0.0624,0.0,0.0012,0.9611
nptel_theory_of_computation_lec01,campus_collapse,baseline,81.142,0.024668,1.0,0.0,0.0,0.0,0.9753
nptel_theory_of_computation_lec01,campus_collapse,naive,11.457,0.003559,0.7354,0.2633,0.0,0.0012,0.9583
mit_6042j_math_for_cs_lec01,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6042j_math_for_cs_lec01,norway_hsdpa,naive,0.0,0.0,0.9985,0.0,0.0,0.0015,0.9987
mit_6042j_math_for_cs_lec01,norway_hsdpa_rough,baseline,5.976,0.002247,1.0,0.0,0.0,0.0,0.9977
mit_6042j_math_for_cs_lec01,norway_hsdpa_rough,naive,0.0,0.0,0.7988,0.1997,0.0,0.0015,0.974
mit_6042j_math_for_cs_lec01,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
mit_6042j_math_for_cs_lec01,belgium_4g,naive,0.0,0.0,0.9985,0.0,0.0,0.0015,0.9987
mit_6042j_math_for_cs_lec01,belgium_4g_rough,baseline,60.023,0.022131,1.0,0.0,0.0,0.0,0.9778
mit_6042j_math_for_cs_lec01,belgium_4g_rough,naive,66.077,0.02431,0.9532,0.0453,0.0,0.0015,0.9692
mit_6042j_math_for_cs_lec01,campus_collapse,baseline,72.49,0.026606,1.0,0.0,0.0,0.0,0.9734
mit_6042j_math_for_cs_lec01,campus_collapse,naive,17.455,0.006539,0.7252,0.2733,0.0,0.0015,0.9573
nptel_dsa_iitd_lec01,norway_hsdpa,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_dsa_iitd_lec01,norway_hsdpa,naive,0.0,0.0,0.9988,0.0,0.0,0.0012,0.9989
nptel_dsa_iitd_lec01,norway_hsdpa_rough,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_dsa_iitd_lec01,norway_hsdpa_rough,naive,0.0,0.0,0.8418,0.157,0.0,0.0012,0.9513
nptel_dsa_iitd_lec01,belgium_4g,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
nptel_dsa_iitd_lec01,belgium_4g,naive,0.0,0.0,0.9988,0.0,0.0,0.0012,0.9989
nptel_dsa_iitd_lec01,belgium_4g_rough,baseline,43.45,0.013346,1.0,0.0,0.0,0.0,0.9866
nptel_dsa_iitd_lec01,belgium_4g_rough,naive,40.098,0.01233,0.6873,0.0835,0.228,0.0012,0.8819
nptel_dsa_iitd_lec01,campus_collapse,baseline,0.0,0.0,1.0,0.0,0.0,0.0,1.0
